"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"9 - 10 heures";"0,37%";1;91;3
;;;;;"10 - 11 heures";"3,35%";6;138,32;12
;;;;;"11 - 12 heures";"5,20%";16;80,58;28
;;;;;"12 - 13 heures";"11,55%";25;114,52;58
;;;;;"13 - 14 heures";"5,42%";17;79,07;31
;;;;;"14 - 15 heures";"10,20%";21;120,35;42
;;;;;"15 - 16 heures";"20,05%";34;146,18;85
;;;;;"16 - 17 heures";"16,92%";34;123,37;94
;;;;;"17 - 18 heures";"7,89%";21;93,19;44
;;;;;"18 - 19 heures";"12,07%";34;87,98;54
;;;;;"19 - 20 heures";"5,66%";14;100,13;26
;;;;;"20 - 21 heures";"1,33%";3;109,77;4
;;"12 Février 2016";"12/02/2016";"Total";;"100,00%";"--";"--";397
;;;;"Vendredi";"Total";"100,00%";"--";"--";397
;;;;;"10 - 11 heures";"2,24%";9;49,21;11
;;;;;"11 - 12 heures";"7,95%";16;98,26;23
;;;;;"12 - 13 heures";"5,69%";15;74,95;24
;;;;;"13 - 14 heures";"5,91%";12;97,38;17
;;;;;"14 - 15 heures";"12,68%";27;92,87;47
;;;;;"15 - 16 heures";"16,98%";35;95,91;70
;;;;;"16 - 17 heures";"17,88%";36;98,22;66
;;;;;"17 - 18 heures";"14,09%";28;99,49;65
;;;;;"18 - 19 heures";"8,88%";18;97,57;41
;;;;;"19 - 20 heures";"6,70%";17;77,9;28
;;;;;"20 - 21 heures";"1,00%";4;49,35;5
;;"13 Février 2016";"13/02/2016";"Total";;"100,00%";"--";"--";566
;;;;"Samedi";"Total";"100,00%";"--";"--";566
;;;;;"9 - 10 heures";"0,88%";2;121;6
;;;;;"10 - 11 heures";"6,58%";18;100,92;37
;;;;;"11 - 12 heures";"12,02%";30;110,59;64
;;;;;"12 - 13 heures";"7,55%";19;109,63;37
;;;;;"13 - 14 heures";"5,28%";17;85,66;27
;;;;;"14 - 15 heures";"8,19%";23;98,27;44
;;;;;"15 - 16 heures";"13,11%";41;88,27;81
;;;;;"16 - 17 heures";"14,89%";38;108,15;77
;;;;;"17 - 18 heures";"10,02%";36;76,83;57
;;;;;"18 - 19 heures";"7,71%";29;73,4;53
;;;;;"19 - 20 heures";"13,20%";35;104,09;77
;;;;;"20 - 21 heures";"0,60%";2;82,2;6
;;"15 Février 2016";"15/02/2016";"Total";;"100,00%";"--";"--";55
;;;;"Lundi";"Total";"100,00%";"--";"--";55
;;;;;"10 - 11 heures";"0,08%";0;;0
;;;;;"11 - 12 heures";"27,01%";5;106,58;13
;;;;;"12 - 13 heures";"2,51%";1;49,5;1
;;;;;"13 - 14 heures";"9,24%";3;60,77;5
;;;;;"14 - 15 heures";"3,69%";2;36,43;3
;;;;;"15 - 16 heures";"16,26%";6;53,48;11
;;;;;"16 - 17 heures";"12,87%";5;50,8;5
;;;;;"17 - 18 heures";"19,63%";9;43,03;14
;;;;;"18 - 19 heures";"-7,65%";2;-75,5;-3
;;;;;"19 - 20 heures";"6,77%";4;33,38;4
;;;;;"20 - 21 heures";"9,60%";2;94,75;2
;;"16 Février 2016";"16/02/2016";"Total";;"100,00%";"--";"--";71
;;;;"Mardi";"Total";"100,00%";"--";"--";71
;;;;;"10 - 11 heures";"1,18%";1;35,5;1
;;;;;"11 - 12 heures";"2,09%";1;63;1
;;;;;"12 - 13 heures";"4,27%";3;42,83;5
;;;;;"13 - 14 heures";"4,48%";3;45;3
;;;;;"14 - 15 heures";"9,19%";5;55,38;5
;;;;;"15 - 16 heures";"14,70%";5;88,56;12
;;;;;"16 - 17 heures";"27,26%";9;91,21;15
;;;;;"17 - 18 heures";"9,12%";5;54,96;9
;;;;;"18 - 19 heures";"18,41%";9;61,61;11
;;;;;"19 - 20 heures";"6,47%";5;38,98;8
;;;;;"20 - 21 heures";"2,82%";1;84,9;1
;;"17 Février 2016";"17/02/2016";"Total";;"100,00%";"--";"--";26
;;;;"Mercredi";"Total";"100,00%";"--";"--";26
;;;;;"11 - 12 heures";"7,21%";2;43,5;3
;;;;;"13 - 14 heures";"20,96%";2;126,5;5
;;;;;"14 - 15 heures";"2,36%";1;28,5;2
;;;;;"15 - 16 heures";"9,06%";3;36,47;3
;;;;;"16 - 17 heures";"11,13%";3;44,8;3
;;;;;"17 - 18 heures";"22,19%";3;89,3;5
;;;;;"18 - 19 heures";"8,12%";1;98;2
;;;;;"19 - 20 heures";"18,97%";3;76,33;3
;;"18 Février 2016";"18/02/2016";"Total";;"100,00%";"--";"--";65
;;;;"Jeudi";"Total";"100,00%";"--";"--";65
;;;;;"10 - 11 heures";"6,34%";1;172,5;2
;;;;;"11 - 12 heures";"15,77%";5;85,8;7
;;;;;"13 - 14 heures";"10,06%";7;39,1;9
;;;;;"14 - 15 heures";"18,82%";6;85,32;12
;;;;;"15 - 16 heures";"12,20%";7;47,41;10
;;;;;"16 - 17 heures";"13,31%";11;32,93;11
;;;;;"17 - 18 heures";"3,01%";1;82;1
;;;;;"18 - 19 heures";"10,84%";4;73,7;5
;;;;;"19 - 20 heures";"2,33%";2;31,65;3
;;;;;"20 - 21 heures";"7,33%";2;99,65;5
;;"19 Février 2016";"19/02/2016";"Total";;"100,00%";"--";"--";73
;;;;"Vendredi";"Total";"100,00%";"--";"--";73
;;;;;"10 - 11 heures";"5,24%";2;81;2
;;;;;"11 - 12 heures";"4,36%";3;44,97;3
;;;;;"12 - 13 heures";"5,75%";3;59,33;4
;;;;;"13 - 14 heures";"10,42%";5;64,48;9
;;;;;"14 - 15 heures";"10,12%";6;52,17;12
;;;;;"15 - 16 heures";"26,07%";10;80,64;15
;;;;;"16 - 17 heures";"14,13%";5;87,42;12
;;;;;"17 - 18 heures";"10,99%";4;85;7
;;;;;"18 - 19 heures";"6,94%";5;42,96;6
;;;;;"19 - 20 heures";"5,96%";1;184,4;3
;;"20 Février 2016";"20/02/2016";"Total";;"100,00%";"--";"--";81
;;;;"Samedi";"Total";"100,00%";"--";"--";81
;;;;;"9 - 10 heures";"2,62%";1;82,5;1
;;;;;"10 - 11 heures";"0,99%";1;31;2
;;;;;"11 - 12 heures";"7,49%";5;47,1;10
;;;;;"12 - 13 heures";"2,91%";2;45,75;6
;;;;;"13 - 14 heures";"10,67%";4;83,88;5
;;;;;"14 - 15 heures";"14,11%";7;63,36;9
;;;;;"15 - 16 heures";"14,56%";11;41,63;14
;;;;;"16 - 17 heures";"22,08%";11;63,12;13
;;;;;"17 - 18 heures";"9,10%";5;57,2;7
;;;;;"18 - 19 heures";"10,92%";4;85,83;10
;;;;;"19 - 20 heures";"4,55%";3;47,73;4
;;"22 Février 2016";"22/02/2016";"Total";;"100,00%";"--";"--";31
;;;;"Lundi";"Total";"100,00%";"--";"--";31
;;;;;"9 - 10 heures";"4,53%";1;47;1
;;;;;"11 - 12 heures";"4,09%";1;42,5;1
;;;;;"12 - 13 heures";"6,98%";1;72,5;1
;;;;;"13 - 14 heures";"9,01%";2;46,75;3
;;;;;"14 - 15 heures";"1,93%";1;20;1
;;;;;"15 - 16 heures";"15,06%";5;31,26;6
;;;;;"16 - 17 heures";"26,32%";4;68,3;12
;;;;;"17 - 18 heures";"17,10%";3;59,17;3
;;;;;"18 - 19 heures";"14,98%";3;51,83;3
;;"23 Février 2016";"23/02/2016";"Total";;"100,00%";"--";"--";45
;;;;"Mardi";"Total";"100,00%";"--";"--";45
;;;;;"10 - 11 heures";"33,33%";3;270,8;8
;;;;;"11 - 12 heures";"12,64%";3;102,67;4
;;;;;"12 - 13 heures";"1,99%";1;48,5;0
;;;;;"13 - 14 heures";"1,91%";2;23,25;2
;;;;;"14 - 15 heures";"6,60%";4;40,23;5
;;;;;"15 - 16 heures";"1,85%";1;45;1
;;;;;"16 - 17 heures";"5,72%";2;69,75;3
;;;;;"17 - 18 heures";"9,63%";4;58,68;8
;;;;;"18 - 19 heures";"22,56%";7;78,57;10
;;;;;"19 - 20 heures";"3,77%";3;30,67;4
;;"24 Février 2016";"24/02/2016";"Total";;"100,00%";"--";"--";42
;;;;"Mercredi";"Total";"100,00%";"--";"--";42
;;;;;"12 - 13 heures";"5,99%";2;48,75;2
;;;;;"13 - 14 heures";"31,79%";5;103,5;11
;;;;;"14 - 15 heures";"7,43%";3;40,33;7
;;;;;"15 - 16 heures";"16,72%";4;68,05;5
;;;;;"16 - 17 heures";"19,31%";6;52,38;8
;;;;;"17 - 18 heures";"3,65%";4;14,85;4
;;;;;"18 - 19 heures";"15,10%";3;81,93;5
;;"25 Février 2016";"25/02/2016";"Total";;"100,00%";"--";"--";68
;;;;"Jeudi";"Total";"100,00%";"--";"--";68
;;;;;"10 - 11 heures";"3,27%";1;91,9;3
;;;;;"11 - 12 heures";"7,99%";2;112,25;5
;;;;;"12 - 13 heures";"2,21%";1;62;1
;;;;;"14 - 15 heures";"5,55%";3;52;3
;;;;;"15 - 16 heures";"22,71%";10;63,85;13
;;;;;"16 - 17 heures";"8,25%";2;116;3
;;;;;"17 - 18 heures";"17,41%";5;97,88;14
;;;;;"18 - 19 heures";"27,32%";7;109,73;18
;;;;;"19 - 20 heures";"5,29%";3;49,53;8
;;"26 Février 2016";"26/02/2016";"Total";;"100,00%";"--";"--";47
;;;;"Vendredi";"Total";"100,00%";"--";"--";47
;;;;;"10 - 11 heures";"12,68%";2;103,7;5
;;;;;"11 - 12 heures";"3,18%";2;26;4
;;;;;"12 - 13 heures";"4,09%";1;67;1
;;;;;"13 - 14 heures";"7,98%";2;65,25;2
;;;;;"14 - 15 heures";"21,44%";4;87,7;11
;;;;;"15 - 16 heures";"11,76%";4;48,1;6
;;;;;"16 - 17 heures";"22,39%";6;61,07;7
;;;;;"17 - 18 heures";"5,41%";1;88,5;1
;;;;;"18 - 19 heures";"9,63%";5;31,52;6
;;;;;"19 - 20 heures";"1,08%";1;17,7;3
;;;;;"20 - 21 heures";"0,36%";1;5,9;1
;;"27 Février 2016";"27/02/2016";"Total";;"100,00%";"--";"--";125
;;;;"Samedi";"Total";"100,00%";"--";"--";125
;;;;;"10 - 11 heures";"7,68%";5;65,24;9
;;;;;"11 - 12 heures";"10,86%";4;115,25;8
;;;;;"12 - 13 heures";"7,46%";6;52,8;8
;;;;;"13 - 14 heures";"5,30%";4;56,3;4
;;;;;"14 - 15 heures";"4,10%";6;29,02;12
;;;;;"15 - 16 heures";"18,73%";10;79,53;29
;;;;;"16 - 17 heures";"10,02%";13;32,72;14
;;;;;"17 - 18 heures";"11,60%";11;44,77;14
;;;;;"18 - 19 heures";"16,70%";8;88,63;15
;;;;;"19 - 20 heures";"7,56%";8;40,13;12
;;"29 Février 2016";"29/02/2016";"Total";;"100,00%";"--";"--";33
;;;;"Lundi";"Total";"100,00%";"--";"--";33
;;;;;"10 - 11 heures";"6,95%";1;65;4
;;;;;"11 - 12 heures";"-5,83%";0;;-1
;;;;;"12 - 13 heures";"8,55%";1;80;1
;;;;;"13 - 14 heures";"1,71%";1;16;1
;;;;;"14 - 15 heures";"33,37%";6;52,05;12
;;;;;"15 - 16 heures";"26,98%";4;63,13;9
;;;;;"16 - 17 heures";"3,31%";1;31;1
;;;;;"17 - 18 heures";"1,34%";1;12,5;1
;;;;;"18 - 19 heures";"9,56%";3;29,83;3
;;;;;"19 - 20 heures";"7,96%";1;74,5;1
;;;;;"20 - 21 heures";"6,09%";1;57;1
;;"01 Mars 2016";"01/03/2016";"Total";;"100,00%";"--";"--";48
;;;;"Mardi";"Total";"100,00%";"--";"--";48
;;;;;"9 - 10 heures";"3,56%";1;70;1
;;;;;"10 - 11 heures";"6,81%";2;67;3
;;;;;"11 - 12 heures";"6,49%";4;31,93;8
;;;;;"12 - 13 heures";"0,76%";1;15;1
;;;;;"13 - 14 heures";"14,02%";5;55,2;7
;;;;;"14 - 15 heures";"2,39%";1;47;1
;;;;;"15 - 16 heures";"17,27%";5;68;6
;;;;;"16 - 17 heures";"12,26%";3;80,47;5
;;;;;"17 - 18 heures";"14,09%";2;138,7;8
;;;;;"18 - 19 heures";"7,59%";3;49,77;3
;;;;;"19 - 20 heures";"14,76%";4;72,63;5
;;"02 Mars 2016";"02/03/2016";"Total";;"100,00%";"--";"--";42
;;;;"Mercredi";"Total";"100,00%";"--";"--";42
;;;;;"9 - 10 heures";"5,50%";1;93;4
;;;;;"10 - 11 heures";"4,66%";2;39,4;3
;;;;;"11 - 12 heures";"11,33%";3;63,8;5
;;;;;"13 - 14 heures";"13,38%";1;226;4
;;;;;"14 - 15 heures";"14,38%";5;48,58;9
;;;;;"15 - 16 heures";"13,26%";4;56,03;5
;;;;;"16 - 17 heures";"16,06%";3;90,47;6
;;;;;"17 - 18 heures";"14,38%";3;81;3
;;;;;"18 - 19 heures";"3,28%";1;55,5;2
;;;;;"19 - 20 heures";"3,76%";1;63,5;1
;;"03 Mars 2016";"03/03/2016";"Total";;"100,00%";"--";"--";53
;;;;"Jeudi";"Total";"100,00%";"--";"--";53
;;;;;"10 - 11 heures";"0,72%";1;14,5;1
;;;;;"11 - 12 heures";"17,07%";6;57,17;6
;;;;;"12 - 13 heures";"8,94%";5;35,94;6
;;;;;"13 - 14 heures";"8,59%";4;43,13;4
;;;;;"14 - 15 heures";"4,15%";3;27,77;3
;;;;;"15 - 16 heures";"4,65%";2;46,75;2
;;;;;"16 - 17 heures";"7,96%";5;32;5
;;;;;"17 - 18 heures";"13,06%";6;43,75;7
;;;;;"18 - 19 heures";"12,33%";4;61,95;7
;;;;;"19 - 20 heures";"22,52%";7;64,64;12
;;"04 Mars 2016";"04/03/2016";"Total";;"100,00%";"--";"--";57
;;;;"Vendredi";"Total";"100,00%";"--";"--";57
;;;;;"10 - 11 heures";"7,77%";2;90,75;4
;;;;;"11 - 12 heures";"8,01%";2;93,5;5
;;;;;"12 - 13 heures";"9,87%";2;115,2;3
;;;;;"13 - 14 heures";"12,23%";5;57,14;9
;;;;;"14 - 15 heures";"2,87%";2;33,5;2
;;;;;"15 - 16 heures";"14,98%";6;58,3;9
;;;;;"16 - 17 heures";"7,07%";3;55;5
;;;;;"17 - 18 heures";"24,84%";7;82,87;11
;;;;;"18 - 19 heures";"6,40%";3;49,83;4
;;;;;"19 - 20 heures";"5,96%";3;46,43;5
;;"05 Mars 2016";"05/03/2016";"Total";;"100,00%";"--";"--";102
;;;;"Samedi";"Total";"100,00%";"--";"--";102
;;;;;"10 - 11 heures";"5,27%";3;85,33;4
;;;;;"11 - 12 heures";"5,61%";5;54,5;6
;;;;;"12 - 13 heures";"5,01%";5;48,72;9
;;;;;"13 - 14 heures";"3,26%";4;39,63;4
;;;;;"14 - 15 heures";"9,23%";5;89,7;8
;;;;;"15 - 16 heures";"21,22%";12;85,96;20
;;;;;"16 - 17 heures";"25,66%";16;77,94;25
;;;;;"17 - 18 heures";"18,66%";13;69,75;18
;;;;;"18 - 19 heures";"6,09%";8;36,98;8
;;"07 Mars 2016";"07/03/2016";"Total";;"100,00%";"--";"--";54
;;;;"Lundi";"Total";"100,00%";"--";"--";54
;;;;;"10 - 11 heures";"5,15%";3;46,03;3
;;;;;"11 - 12 heures";"3,99%";2;53,45;2
;;;;;"12 - 13 heures";"0,22%";1;6;1
;;;;;"13 - 14 heures";"3,75%";2;50,25;2
;;;;;"14 - 15 heures";"5,00%";3;44,67;5
;;;;;"15 - 16 heures";"15,05%";7;57,6;10
;;;;;"16 - 17 heures";"0,82%";1;22;1
;;;;;"17 - 18 heures";"46,29%";5;248,06;14
;;;;;"18 - 19 heures";"13,45%";4;90,13;8
;;;;;"19 - 20 heures";"3,06%";2;41;5
;;;;;"20 - 21 heures";"3,21%";1;86;3
;;"08 Mars 2016";"08/03/2016";"Total";;"100,00%";"--";"--";28
;;;;"Mardi";"Total";"100,00%";"--";"--";28
;;;;;"9 - 10 heures";"6,11%";1;75;1
;;;;;"10 - 11 heures";"30,03%";2;184,25;4
;;;;;"11 - 12 heures";"2,89%";2;17,75;2
;;;;;"12 - 13 heures";"-8,27%";0;;0
;;;;;"13 - 14 heures";"3,91%";1;48;1
;;;;;"14 - 15 heures";"32,48%";5;79,7;10
;;;;;"15 - 16 heures";"1,02%";1;12,5;1
;;;;;"16 - 17 heures";"14,43%";3;59;3
;;;;;"17 - 18 heures";"1,96%";1;24;1
;;;;;"18 - 19 heures";"8,60%";2;52,75;3
;;;;;"19 - 20 heures";"6,85%";2;42;2
;;"09 Mars 2016";"09/03/2016";"Total";;"100,00%";"--";"--";132
;;;;"Mercredi";"Total";"100,00%";"--";"--";132
;;;;;"10 - 11 heures";"5,64%";6;36,91;10
;;;;;"11 - 12 heures";"9,49%";4;93,11;5
;;;;;"12 - 13 heures";"5,29%";5;41,52;11
;;;;;"13 - 14 heures";"14,55%";7;81,56;17
;;;;;"14 - 15 heures";"9,70%";4;95,15;6
;;;;;"15 - 16 heures";"16,23%";8;79,6;17
;;;;;"16 - 17 heures";"3,78%";4;37,08;13
;;;;;"17 - 18 heures";"18,04%";13;54,45;25
;;;;;"18 - 19 heures";"8,83%";7;49,5;9
;;;;;"19 - 20 heures";"8,44%";8;41,38;19
;;"10 Mars 2016";"10/03/2016";"Total";;"100,00%";"--";"--";122
;;;;"Jeudi";"Total";"100,00%";"--";"--";122
;;;;;"10 - 11 heures";"4,23%";5;40,54;8
;;;;;"11 - 12 heures";"4,77%";4;57,08;6
;;;;;"12 - 13 heures";"6,22%";5;59,59;10
;;;;;"13 - 14 heures";"3,92%";4;46,87;4
;;;;;"14 - 15 heures";"7,76%";8;46,43;11
;;;;;"15 - 16 heures";"26,06%";14;89,13;26
;;;;;"16 - 17 heures";"10,54%";9;56,05;11
;;;;;"17 - 18 heures";"10,85%";9;57,7;15
;;;;;"18 - 19 heures";"12,78%";7;87,43;15
;;;;;"19 - 20 heures";"8,88%";7;60,74;11
;;;;;"20 - 21 heures";"0,67%";1;32;1
;;;;;"21 - 22 heures";"3,32%";2;79,35;4
;;"11 Mars 2016";"11/03/2016";"Total";;"100,00%";"--";"--";133
;;;;"Vendredi";"Total";"100,00%";"--";"--";133
;;;;;"9 - 10 heures";"0,65%";1;24,43;2
;;;;;"10 - 11 heures";"10,34%";5;77,84;7
;;;;;"11 - 12 heures";"0,64%";1;24;1
;;;;;"12 - 13 heures";"16,86%";11;57,7;22
;;;;;"13 - 14 heures";"7,40%";4;69,63;11
;;;;;"14 - 15 heures";"3,30%";5;24,82;6
;;;;;"15 - 16 heures";"10,12%";7;54,41;15
;;;;;"16 - 17 heures";"10,25%";8;48,26;15
;;;;;"17 - 18 heures";"16,63%";11;56,94;22
;;;;;"18 - 19 heures";"20,28%";13;58,74;28
;;;;;"19 - 20 heures";"0,86%";1;32,5;1
;;;;;"20 - 21 heures";"2,68%";1;101;3
;;"12 Mars 2016";"12/03/2016";"Total";;"100,00%";"--";"--";186
;;;;"Samedi";"Total";"100,00%";"--";"--";186
;;;;;"9 - 10 heures";"1,24%";1;78,4;2
;;;;;"10 - 11 heures";"10,16%";8;80,03;17
;;;;;"11 - 12 heures";"9,40%";13;45,58;25
;;;;;"12 - 13 heures";"6,82%";7;61,38;11
;;;;;"13 - 14 heures";"8,18%";9;57,31;14
;;;;;"14 - 15 heures";"3,05%";8;24,01;12
;;;;;"15 - 16 heures";"12,96%";13;62,83;23
;;;;;"16 - 17 heures";"13,54%";11;77,56;24
;;;;;"17 - 18 heures";"9,28%";10;58,49;19
;;;;;"18 - 19 heures";"17,58%";13;85,24;28
;;;;;"19 - 20 heures";"7,79%";8;61,38;11
;;"14 Mars 2016";"14/03/2016";"Total";;"100,00%";"--";"--";117
;;;;"Lundi";"Total";"100,00%";"--";"--";117
;;;;;"10 - 11 heures";"3,75%";4;34;9
;;;;;"11 - 12 heures";"5,79%";2;105,03;3
;;;;;"12 - 13 heures";"8,13%";4;73,69;12
;;;;;"13 - 14 heures";"5,50%";5;39,9;11
;;;;;"14 - 15 heures";"6,15%";6;37,14;12
;;;;;"15 - 16 heures";"15,16%";9;61,07;15
;;;;;"16 - 17 heures";"4,80%";3;57,97;7
;;;;;"17 - 18 heures";"9,34%";6;56,42;16
;;;;;"18 - 19 heures";"31,81%";6;192,22;21
;;;;;"19 - 20 heures";"9,58%";4;86,88;11
;;"15 Mars 2016";"15/03/2016";"Total";;"100,00%";"--";"--";84
;;;;"Mardi";"Total";"100,00%";"--";"--";84
;;;;;"10 - 11 heures";"3,70%";1;111;2
;;;;;"11 - 12 heures";"2,76%";1;82,9;1
;;;;;"12 - 13 heures";"6,84%";4;51,31;6
;;;;;"13 - 14 heures";"22,44%";7;96,14;17
;;;;;"14 - 15 heures";"3,68%";3;36,75;4
;;;;;"15 - 16 heures";"26,16%";10;78,47;21
;;;;;"16 - 17 heures";"7,03%";5;42,18;8
;;;;;"17 - 18 heures";"4,88%";2;73,25;2
;;;;;"18 - 19 heures";"18,89%";9;62,95;21
;;;;;"19 - 20 heures";"3,62%";1;108,5;2
;;"16 Mars 2016";"16/03/2016";"Total";;"100,00%";"--";"--";117
;;;;"Mercredi";"Total";"100,00%";"--";"--";117
;;;;;"9 - 10 heures";"1,16%";1;45;1
;;;;;"10 - 11 heures";"4,74%";4;45,88;4
;;;;;"11 - 12 heures";"16,57%";8;80,22;21
;;;;;"12 - 13 heures";"5,04%";4;48,76;7
;;;;;"13 - 14 heures";"6,34%";3;81,87;7
;;;;;"14 - 15 heures";"6,05%";3;78,1;6
;;;;;"15 - 16 heures";"11,59%";9;49,87;13
;;;;;"16 - 17 heures";"12,18%";9;52,39;15
;;;;;"17 - 18 heures";"21,19%";9;91,17;19
;;;;;"18 - 19 heures";"3,69%";4;35,68;9
;;;;;"19 - 20 heures";"11,46%";8;55,47;15
;;"17 Mars 2016";"17/03/2016";"Total";;"100,00%";"--";"--";148
;;;;"Jeudi";"Total";"100,00%";"--";"--";148
;;;;;"9 - 10 heures";"0,45%";2;12,25;2
;;;;;"10 - 11 heures";"7,43%";3;135,2;5
;;;;;"11 - 12 heures";"5,59%";6;50,82;10
;;;;;"12 - 13 heures";"6,57%";4;89,63;10
;;;;;"13 - 14 heures";"10,33%";6;93,98;9
;;;;;"14 - 15 heures";"5,83%";7;45,46;11
;;;;;"15 - 16 heures";"3,82%";6;34,73;9
;;;;;"16 - 17 heures";"24,30%";13;102,04;33
;;;;;"17 - 18 heures";"8,12%";6;73,85;17
;;;;;"18 - 19 heures";"19,22%";10;104,93;29
;;;;;"19 - 20 heures";"3,51%";3;63,83;4
;;;;;"20 - 21 heures";"4,83%";2;131,82;9
;;"18 Mars 2016";"18/03/2016";"Total";;"100,00%";"--";"--";156
;;;;"Vendredi";"Total";"100,00%";"--";"--";156
;;;;;"9 - 10 heures";"1,06%";1;63,5;1
;;;;;"10 - 11 heures";"0,28%";1;16,66;1
;;;;;"11 - 12 heures";"14,69%";7;125,5;15
;;;;;"12 - 13 heures";"10,93%";9;72,62;17
;;;;;"13 - 14 heures";"6,28%";7;53,63;15
;;;;;"14 - 15 heures";"9,41%";9;62,52;22
;;;;;"15 - 16 heures";"9,70%";10;58,02;16
;;;;;"16 - 17 heures";"15,64%";12;77,94;18
;;;;;"17 - 18 heures";"16,71%";17;58,78;29
;;;;;"18 - 19 heures";"10,16%";9;67,48;14
;;;;;"19 - 20 heures";"5,13%";4;76,7;8
;;"19 Mars 2016";"19/03/2016";"Total";;"100,00%";"--";"--";291
;;;;"Samedi";"Total";"100,00%";"--";"--";291
;;;;;"9 - 10 heures";"0,87%";1;91,5;3
;;;;;"10 - 11 heures";"4,90%";6;85,77;14
;;;;;"11 - 12 heures";"7,41%";14;55,6;23
;;;;;"12 - 13 heures";"8,25%";15;57,8;31
;;;;;"13 - 14 heures";"4,10%";9;47,92;20
;;;;;"14 - 15 heures";"11,04%";13;89,25;30
;;;;;"15 - 16 heures";"14,39%";22;68,71;42
;;;;;"16 - 17 heures";"14,89%";18;86,93;31
;;;;;"17 - 18 heures";"20,18%";25;84,81;49
;;;;;"18 - 19 heures";"6,44%";12;56,41;24
;;;;;"19 - 20 heures";"6,88%";13;55,64;22
;;;;;"20 - 21 heures";"0,64%";1;67;2
;;"21 Mars 2016";"21/03/2016";"Total";;"100,00%";"--";"--";56
;;;;"Lundi";"Total";"100,00%";"--";"--";56
;;;;;"10 - 11 heures";"12,45%";2;126,13;5
;;;;;"11 - 12 heures";"5,95%";2;60,25;2
;;;;;"12 - 13 heures";"7,52%";3;50,78;8
;;;;;"13 - 14 heures";"5,30%";3;35,83;4
;;;;;"14 - 15 heures";"10,81%";3;73,03;7
;;;;;"15 - 16 heures";"18,81%";7;54,46;10
;;;;;"16 - 17 heures";"17,49%";7;50,63;11
;;;;;"17 - 18 heures";"9,57%";2;96,95;6
;;;;;"18 - 19 heures";"8,41%";2;85,25;2
;;;;;"19 - 20 heures";"3,70%";1;75;1
;;"22 Mars 2016";"22/03/2016";"Total";;"100,00%";"--";"--";72
;;;;"Mardi";"Total";"100,00%";"--";"--";72
;;;;;"9 - 10 heures";"2,34%";1;49,4;2
;;;;;"10 - 11 heures";"0,73%";1;15,4;1
;;;;;"11 - 12 heures";"15,57%";6;54,82;12
;;;;;"12 - 13 heures";"10,06%";5;42,5;7
;;;;;"13 - 14 heures";"19,21%";7;57,97;11
;;;;;"14 - 15 heures";"10,62%";4;56,08;6
;;;;;"15 - 16 heures";"4,62%";4;24,42;6
;;;;;"16 - 17 heures";"9,77%";3;68,77;7
;;;;;"17 - 18 heures";"15,58%";7;47,01;10
;;;;;"18 - 19 heures";"4,66%";2;49,2;4
;;;;;"19 - 20 heures";"2,50%";3;17,62;3
;;;;;"20 - 21 heures";"4,35%";1;92;3
;;"23 Mars 2016";"23/03/2016";"Total";;"100,00%";"--";"--";67
;;;;"Mercredi";"Total";"100,00%";"--";"--";67
;;;;;"10 - 11 heures";"5,85%";5;35,23;5
;;;;;"11 - 12 heures";"11,11%";2;167,33;5
;;;;;"13 - 14 heures";"6,95%";1;209,53;7
;;;;;"14 - 15 heures";"2,19%";1;66;1
;;;;;"15 - 16 heures";"10,48%";5;63,16;8
;;;;;"16 - 17 heures";"5,68%";4;42,82;7
;;;;;"17 - 18 heures";"37,20%";11;101,91;18
;;;;;"18 - 19 heures";"7,76%";5;46,74;6
;;;;;"19 - 20 heures";"12,78%";4;96,24;10
;;"24 Mars 2016";"24/03/2016";"Total";;"100,00%";"--";"--";93
;;;;"Jeudi";"Total";"100,00%";"--";"--";93
;;;;;"9 - 10 heures";"0,69%";2;12,91;2
;;;;;"10 - 11 heures";"4,07%";2;75,5;2
;;;;;"11 - 12 heures";"1,13%";2;20,9;2
;;;;;"12 - 13 heures";"8,28%";5;61,49;8
;;;;;"13 - 14 heures";"20,74%";10;77,01;23
;;;;;"14 - 15 heures";"18,00%";11;60,77;14
;;;;;"15 - 16 heures";"9,54%";5;70,9;7
;;;;;"16 - 17 heures";"16,80%";8;78;12
;;;;;"17 - 18 heures";"15,29%";6;94,65;12
;;;;;"18 - 19 heures";"5,46%";6;33,82;11
;;"25 Mars 2016";"25/03/2016";"Total";;"100,00%";"--";"--";62
;;;;"Vendredi";"Total";"100,00%";"--";"--";62
;;;;;"9 - 10 heures";"2,02%";1;46;1
;;;;;"10 - 11 heures";"4,43%";4;25,18;4
;;;;;"11 - 12 heures";"5,72%";5;25,99;5
;;;;;"12 - 13 heures";"8,91%";3;67,44;8
;;;;;"13 - 14 heures";"5,97%";3;45,21;6
;;;;;"14 - 15 heures";"21,42%";8;60,81;13
;;;;;"15 - 16 heures";"13,95%";6;52,82;6
;;;;;"16 - 17 heures";"10,72%";3;81,17;5
;;;;;"17 - 18 heures";"8,67%";3;65,65;4
;;;;;"18 - 19 heures";"12,22%";4;69,43;7
